Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       17     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, int> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.00     0.00       17     0.00     0.00  std::map<std::pair<char, char>, int, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::lower_bound(std::pair<char, char> const&)
  0.00      0.00     0.00       17     0.00     0.00  std::map<std::pair<char, char>, int, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::end()
  0.00      0.00     0.00       17     0.00     0.00  std::map<std::pair<char, char>, int, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::operator[](std::pair<char, char>&&)
  0.00      0.00     0.00       17     0.00     0.00  std::pair<char, char>::pair<char&, char&, true>(char&, char&)
  0.00      0.00     0.00       17     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::lower_bound(std::pair<char, char> const&)
  0.00      0.00     0.00       17     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> >*, std::_Rb_tree_node_base*, std::pair<char, char> const&)
  0.00      0.00     0.00       17     0.00     0.00  std::pair<std::__strip_reference_wrapper<std::decay<char&>::type>::__type, std::__strip_reference_wrapper<std::decay<char&>::type>::__type> std::make_pair<char&, char&>(char&, char&)
  0.00      0.00     0.00       16     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_mbegin() const
  0.00      0.00     0.00       16     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_S_left(std::_Rb_tree_node_base*)
